DETAILED ROUTE LOG: Dijkstra Route 2
Generated on: 2026-04-22 08:48:01
--------------------------------------------------------------------------------------------------------------
Time                 | Latitude   | Longitude  | TWS [kt] | TWD [°]  | Heading [°] | TWA [°]  | BS [kt] 
--------------------------------------------------------------------------------------------------------------
2026-04-21 17:00     | 53.250000  | 2.500000   | 15.56    | 42.1     | 329.3       | 72.8     | 7.31    
2026-04-21 19:44     | 53.500000  | 2.250000   | 14.39    | 49.8     | 329.4       | 80.3     | 7.34    
2026-04-21 22:28     | 53.750000  | 2.000000   | 14.40    | 50.3     | 329.6       | 80.7     | 7.35    
2026-04-22 01:12     | 54.000000  | 1.750000   | 13.04    | 60.3     | 329.7       | 90.5     | 7.27    
2026-04-22 03:56     | 54.250000  | 1.500000   | 12.27    | 55.5     | 329.9       | 85.6     | 7.10    
2026-04-22 06:41     | 54.500000  | 1.250000   | 14.81    | 51.3     | 330.0       | 81.2     | 7.40    
2026-04-22 09:25     | 54.750000  | 1.000000   | 14.82    | 49.4     | 0.0         | 49.4     | 6.53    
2026-04-22 12:09     | 55.000000  | 1.000000   | 11.77    | 51.9     | 330.3       | 81.6     | 6.97    
2026-04-22 14:53     | 55.250000  | 0.750000   | 9.92     | 47.1     | 330.5       | 76.6     | 6.55    
2026-04-22 17:37     | 55.500000  | 0.500000   | 8.16     | 44.3     | 330.7       | 73.7     | 6.08    
2026-04-22 20:22     | 55.750000  | 0.250000   | 5.90     | 44.1     | 330.8       | 73.3     | 5.09    
2026-04-22 23:06     | 56.000000  | 0.000000   | 5.09     | 32.9     | 331.0       | 62.0     | 4.41    
2026-04-23 01:50     | 56.250000  | -0.250000  | 4.96     | 16.4     | 331.1       | 45.3     | 3.45    
2026-04-23 04:34     | 56.500000  | -0.500000  | 3.80     | 356.1    | 331.3       | 24.8     | 0.00    
2026-04-23 07:18     | 56.750000  | -0.750000  | 3.49     | 10.7     | 331.4       | 39.3     | 2.15    
2026-04-23 10:03     | 57.000000  | -1.000000  | 1.73     | 257.9    | 331.6       | 73.8     | 3.22    
2026-04-23 12:47     | 57.250000  | -1.250000  | 3.12     | 186.7    | 331.8       | 145.1    | 2.20    
2026-04-23 15:31     | 57.500000  | -1.500000  | 6.85     | 149.7    | 331.9       | 177.8    | 3.57    
2026-04-23 18:15     | 57.750000  | -1.750000  | 10.23    | 139.2    | 332.1       | 167.1    | 5.35    
2026-04-23 21:00     | 58.000000  | -2.000000  | 10.38    | 141.1    | 332.3       | 168.9    | 5.37    
2026-04-23 23:44     | 58.250000  | -2.250000  | 7.65     | 141.8    | 332.4       | 169.4    | 4.13    
2026-04-24 02:28     | 58.500000  | -2.500000  | 7.29     | 117.6    | 332.6       | 145.0    | 4.56    
2026-04-24 05:12     | 58.750000  | -2.750000  | 6.75     | 131.4    | 332.8       | 158.6    | 3.86    
2026-04-24 07:56     | 59.000000  | -3.000000  | 5.08     | 135.2    | 332.9       | 162.3    | 2.91    
2026-04-24 10:41     | 59.250000  | -3.250000  | 2.64     | 41.4     | 333.1       | 68.3     | 3.51    
2026-04-24 13:25     | 59.500000  | -3.500000  | 2.74     | 151.2    | 333.3       | 177.9    | 1.49    
2026-04-24 16:09     | 59.750000  | -3.750000  | 2.65     | 308.1    | 333.5       | 25.4     | 0.00    
2026-04-24 18:53     | 60.000000  | -4.000000  | 6.56     | 312.4    | 333.6       | 21.3     | 0.00    
2026-04-24 21:37     | 60.250000  | -4.250000  | 12.50    | 331.2    | 333.8       | 2.6      | 0.00    
2026-04-25 00:22     | 60.500000  | -4.500000  | 14.10    | 354.6    | 334.0       | 20.7     | 0.00    
2026-04-25 03:06     | 60.750000  | -4.750000  | 16.56    | 5.2      | 25.8        | 20.6     | 0.00    
2026-04-25 05:50     | 61.000000  | -4.500000  | 16.60    | 30.1     | 25.7        | 4.4      | 0.00    
2026-04-25 08:34     | 61.250000  | -4.250000  | 16.75    | 34.5     | 25.5        | 9.0      | 0.00    
2026-04-25 11:19     | 61.500000  | -4.000000  | 12.86    | 36.4     | 25.3        | 11.1     | 0.00    
2026-04-25 14:03     | 61.750000  | -3.750000  | 9.41     | 38.6     | 334.9       | 63.7     | 6.23    
2026-04-25 16:47     | 62.000000  | -4.000000  | 7.77     | 51.7     | 334.9       | 76.8     | 5.97    
