DETAILED ROUTE LOG: Dijkstra 2D Route 4
Generated on: 2026-04-22 09:43:39
--------------------------------------------------------------------------------------------------------------
Time                 | Latitude   | Longitude  | TWS [kt] | TWD [°]  | Heading [°] | TWA [°]  | BS [kt] 
--------------------------------------------------------------------------------------------------------------
2026-04-22 03:00     | 53.250000  | 2.500000   | 11.54    | 59.4     | 0.0         | 59.4     | 6.51    
2026-04-22 05:30     | 53.500000  | 2.500000   | 11.65    | 55.9     | 0.0         | 55.9     | 6.44    
2026-04-22 08:01     | 53.750000  | 2.500000   | 12.34    | 57.0     | 329.6       | 87.4     | 7.12    
2026-04-22 10:32     | 54.000000  | 2.250000   | 11.73    | 58.1     | 329.7       | 88.4     | 7.04    
2026-04-22 13:03     | 54.250000  | 2.000000   | 12.02    | 57.8     | 329.9       | 87.9     | 7.08    
2026-04-22 15:34     | 54.500000  | 1.750000   | 10.95    | 50.7     | 330.0       | 80.7     | 6.80    
2026-04-22 18:05     | 54.750000  | 1.500000   | 11.12    | 44.5     | 330.2       | 74.3     | 6.74    
2026-04-22 20:36     | 55.000000  | 1.250000   | 10.08    | 45.6     | 330.3       | 75.2     | 6.57    
2026-04-22 23:07     | 55.250000  | 1.000000   | 8.26     | 29.5     | 330.5       | 59.0     | 5.83    
2026-04-23 01:38     | 55.500000  | 0.750000   | 6.73     | 25.1     | 330.7       | 54.5     | 4.92    
2026-04-23 04:09     | 55.750000  | 0.500000   | 6.14     | 23.4     | 330.8       | 52.5     | 4.51    
2026-04-23 06:40     | 56.000000  | 0.250000   | 6.60     | 357.5    | 331.0       | 26.5     | 0.00    
2026-04-23 09:11     | 56.250000  | 0.000000   | 6.37     | 347.9    | 0.0         | 12.1     | 0.00    
2026-04-23 11:42     | 56.500000  | 0.000000   | 5.83     | 354.0    | 0.0         | 6.0      | 0.00    
2026-04-23 14:13     | 56.750000  | 0.000000   | 5.05     | 0.6      | 331.4       | 29.2     | 0.00    
2026-04-23 16:44     | 57.000000  | -0.250000  | 3.82     | 35.6     | 331.6       | 64.0     | 3.87    
2026-04-23 19:15     | 57.250000  | -0.500000  | 2.25     | 65.1     | 331.8       | 93.3     | 3.46    
2026-04-23 21:46     | 57.500000  | -0.750000  | 1.77     | 134.7    | 331.9       | 162.8    | 1.15    
2026-04-24 00:17     | 57.750000  | -1.000000  | 3.53     | 177.7    | 332.1       | 154.4    | 2.19    
2026-04-24 02:48     | 58.000000  | -1.250000  | 2.87     | 125.6    | 332.3       | 153.4    | 1.84    
2026-04-24 05:19     | 58.250000  | -1.500000  | 3.77     | 146.9    | 332.4       | 174.5    | 2.05    
2026-04-24 07:50     | 58.500000  | -1.750000  | 3.40     | 150.0    | 332.6       | 177.4    | 1.83    
2026-04-24 10:20     | 58.750000  | -2.000000  | 3.00     | 149.1    | 332.8       | 176.3    | 1.65    
2026-04-24 12:51     | 59.000000  | -2.250000  | 2.88     | 165.7    | 332.9       | 167.2    | 1.69    
2026-04-24 15:22     | 59.250000  | -2.500000  | 1.08     | 200.8    | 333.1       | 132.4    | 1.47    
2026-04-24 17:53     | 59.500000  | -2.750000  | 5.16     | 333.2    | 333.3       | 0.1      | 0.00    
2026-04-24 20:24     | 59.750000  | -3.000000  | 10.41    | 310.5    | 333.5       | 23.0     | 0.00    
2026-04-24 22:55     | 60.000000  | -3.250000  | 14.55    | 335.0    | 333.6       | 1.4      | 0.00    
2026-04-25 01:26     | 60.250000  | -3.500000  | 17.30    | 339.4    | 333.8       | 5.6      | 0.00    
2026-04-25 03:57     | 60.500000  | -3.750000  | 18.04    | 356.9    | 334.0       | 22.9     | 0.00    
2026-04-25 06:28     | 60.750000  | -4.000000  | 16.32    | 25.0     | 334.2       | 50.9     | 6.67    
2026-04-25 08:59     | 61.000000  | -4.250000  | 15.84    | 35.3     | 334.3       | 61.0     | 7.01    
2026-04-25 11:30     | 61.250000  | -4.500000  | 11.64    | 44.9     | 25.5        | 19.4     | 0.00    
2026-04-25 14:01     | 61.500000  | -4.250000  | 8.88     | 45.9     | 25.3        | 20.6     | 0.00    
2026-04-25 16:32     | 61.750000  | -4.000000  | 7.56     | 61.5     | 25.1        | 36.4     | 4.10    
2026-04-25 19:03     | 62.000000  | -3.750000  | 7.60     | 47.3     | 24.9        | 22.3     | 0.00    
2026-04-25 21:34     | 62.250000  | -3.500000  | 4.98     | 73.1     | 24.8        | 48.3     | 3.63    
2026-04-26 00:05     | 62.500000  | -3.250000  | 4.28     | 121.6    | 24.6        | 97.0     | 4.51    
2026-04-26 02:36     | 62.750000  | -3.000000  | 4.93     | 161.8    | 24.4        | 137.4    | 3.55    
2026-04-26 05:07     | 63.000000  | -2.750000  | 5.91     | 172.6    | 0.0         | 172.6    | 3.18    
2026-04-26 07:38     | 63.250000  | -2.750000  | 8.58     | 176.6    | 0.0         | 176.6    | 4.43    
2026-04-26 10:09     | 63.500000  | -2.750000  | 9.33     | 180.3    | 0.0         | 179.7    | 4.70    
2026-04-26 12:40     | 63.750000  | -2.750000  | 9.83     | 177.6    | 0.0         | 177.6    | 4.97    
2026-04-26 15:10     | 64.000000  | -2.750000  | 10.16    | 163.7    | 0.0         | 163.7    | 5.39    
2026-04-26 17:41     | 64.250000  | -2.750000  | 15.15    | 164.6    | 0.0         | 164.6    | 6.97    
2026-04-26 20:12     | 64.500000  | -2.750000  | 16.93    | 167.1    | 0.0         | 167.1    | 7.28    
2026-04-26 22:43     | 64.750000  | -2.750000  | 16.80    | 167.2    | 0.0         | 167.2    | 7.25    
2026-04-27 01:14     | 65.000000  | -2.750000  | 16.90    | 171.6    | 0.0         | 171.6    | 7.20    
2026-04-27 03:45     | 65.250000  | -2.750000  | 18.03    | 173.8    | 0.0         | 173.8    | 7.36    
2026-04-27 06:16     | 65.500000  | -2.750000  | 17.43    | 176.5    | 0.0         | 176.5    | 7.21    
2026-04-27 08:47     | 65.750000  | -2.750000  | 17.99    | 179.3    | 0.0         | 179.3    | 7.26    
2026-04-27 11:18     | 66.000000  | -2.750000  | 18.28    | 181.6    | 0.0         | 178.4    | 7.32    
2026-04-27 13:49     | 66.250000  | -2.750000  | 17.77    | 182.4    | 0.0         | 177.6    | 7.25    
2026-04-27 16:20     | 66.500000  | -2.750000  | 16.81    | 170.5    | 21.5        | 149.0    | 7.57    
2026-04-27 18:51     | 66.750000  | -2.500000  | 16.81    | 170.4    | 0.0         | 170.4    | 7.20    
2026-04-27 21:22     | 67.000000  | -2.500000  | 15.35    | 159.7    | 21.1        | 138.6    | 7.57    
2026-04-27 23:53     | 67.250000  | -2.250000  | 16.74    | 160.1    | 20.9        | 139.1    | 7.82    
2026-04-28 02:24     | 67.500000  | -2.000000  | 17.57    | 159.6    | 20.7        | 138.8    | 7.97    
2026-04-28 04:55     | 67.750000  | -1.750000  | 15.94    | 145.5    | 20.5        | 125.0    | 7.99    
2026-04-28 07:26     | 68.000000  | -1.500000  | 18.04    | 143.1    | 20.3        | 122.8    | 8.36    
2026-04-28 09:57     | 68.250000  | -1.250000  | 18.10    | 148.2    | 20.1        | 128.1    | 8.28    
2026-04-28 12:28     | 68.500000  | -1.000000  | 18.32    | 146.7    | 19.9        | 126.8    | 8.34    
2026-04-28 14:59     | 68.750000  | -0.750000  | 17.96    | 143.7    | 19.7        | 124.0    | 8.33    
